Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2021,Utah Jazz,52,20,0.722,—,116.4,107.2,8.97,Y,N
2021,Phoenix Suns,51,21,0.708,1.0,115.3,109.5,5.67,Y,N
2021,Denver Nuggets,47,25,0.653,5.0,115.1,110.1,4.82,Y,N
2021,Los Angeles Clippers,47,25,0.653,5.0,114.0,107.8,6.02,Y,N
2021,Dallas Mavericks,42,30,0.583,10.0,112.4,110.2,2.26,Y,N
2021,Portland Trail Blazers,42,30,0.583,10.0,116.1,114.3,1.81,Y,N
2021,Los Angeles Lakers,42,30,0.583,10.0,109.5,106.8,2.77,Y,N
2021,Golden State Warriors,39,33,0.542,13.0,113.7,112.7,1.1,N,N
2021,Memphis Grizzlies,38,34,0.528,14.0,113.3,112.3,1.07,Y,N
2021,San Antonio Spurs,33,39,0.458,19.0,111.1,112.8,-1.58,N,Y
2021,New Orleans Pelicans,31,41,0.431,21.0,114.6,114.9,-0.2,N,Y
2021,Sacramento Kings,31,41,0.431,21.0,113.7,117.4,-3.45,N,Y
2021,Minnesota Timberwolves,23,49,0.319,29.0,112.1,117.7,-5.25,N,Y
2021,Oklahoma City Thunder,22,50,0.306,30.0,105.0,115.6,-10.13,N,Y
2021,Houston Rockets,17,55,0.236,35.0,108.8,116.7,-7.5,N,Y
