Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2016,Cleveland Cavaliers,57,25,0.695,—,104.3,98.3,5.45,Y,N
2016,Toronto Raptors,56,26,0.683,1.0,102.7,98.2,4.08,Y,N
2016,Miami Heat,48,34,0.585,9.0,100.0,98.4,1.5,Y,N
2016,Atlanta Hawks,48,34,0.585,9.0,102.8,99.2,3.49,Y,N
2016,Boston Celtics,48,34,0.585,9.0,105.7,102.5,2.84,Y,N
2016,Charlotte Hornets,48,34,0.585,9.0,103.4,100.7,2.36,Y,N
2016,Indiana Pacers,45,37,0.549,12.0,102.2,100.5,1.62,Y,N
2016,Detroit Pistons,44,38,0.537,13.0,102.0,101.4,0.43,Y,N
2016,Chicago Bulls,42,40,0.512,15.0,101.6,103.1,-1.46,N,N
2016,Washington Wizards,41,41,0.5,16.0,104.1,104.6,-0.5,N,N
2016,Orlando Magic,35,47,0.427,22.0,102.1,103.7,-1.68,N,Y
2016,Milwaukee Bucks,33,49,0.402,24.0,99.0,103.2,-3.98,N,Y
2016,New York Knicks,32,50,0.39,25.0,98.4,101.1,-2.74,N,Y
2016,Brooklyn Nets,21,61,0.256,36.0,98.6,106.0,-7.12,N,Y
2016,Philadelphia 76ers,10,72,0.122,47.0,97.4,107.6,-9.92,N,Y
